dataset,f,policy,op,live,probe,recall,consolidated
synth,0.5,P2-signal@0.030,51000,15132,0.9975,0.9999,0
synth,0.5,P2-signal@0.030,55000,15218,0.993,0.9999,0
synth,0.5,P2-signal@0.030,59000,15326,0.993,0.9998,0
synth,0.5,P2-signal@0.030,63000,15314,0.9985,0.9998,0
synth,0.5,P2-signal@0.030,67000,15256,0.9975,0.9997,0
synth,0.5,P2-signal@0.030,71000,15148,0.997,0.9996,0
synth,0.5,P2-signal@0.030,75000,15174,0.998,0.9995,0
synth,0.5,P2-signal@0.080,19000,14940,0.999,0.9998,0
synth,0.5,P2-signal@0.080,23000,14962,0.9985,0.9999,0
synth,0.5,P2-signal@0.080,27000,14998,0.999,0.9998,0
synth,0.5,P2-signal@0.080,31000,15042,0.999,0.9999,0
synth,0.5,P2-signal@0.080,35000,15106,0.999,0.9998,0
synth,0.5,P2-signal@0.080,39000,15200,0.999,0.9998,0
synth,0.5,P2-signal@0.080,43000,15178,0.994,0.9999,0
synth,0.5,P2-signal@0.080,47000,15216,0.994,0.9997,0
synth,0.5,P2-signal@0.080,51000,15132,0.9975,0.9999,0
synth,0.5,P2-signal@0.080,55000,15218,0.993,0.9999,0
synth,0.5,P2-signal@0.080,59000,15326,0.993,0.9998,0
synth,0.5,P2-signal@0.080,63000,15314,0.9985,0.9998,0
synth,0.5,P2-signal@0.080,67000,15256,0.9975,0.9997,0
synth,0.5,P2-signal@0.080,71000,15148,0.997,0.9996,0
synth,0.5,P2-signal@0.080,75000,15174,0.998,0.9995,0
