dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P2-signal@0.004,220000,20260,0.987,0.9826,0
sift,0.5,P2-signal@0.008,28000,20070,0.9955,0.9883,0
sift,0.5,P2-signal@0.008,36000,19984,0.992,0.9853,0
sift,0.5,P2-signal@0.008,44000,19984,0.9855,0.9847,1
sift,0.5,P2-signal@0.008,52000,20048,0.9915,0.9863,0
sift,0.5,P2-signal@0.008,60000,20218,0.9935,0.9833,0
sift,0.5,P2-signal@0.008,68000,20238,0.989,0.9819,0
sift,0.5,P2-signal@0.008,76000,20234,0.988,0.9777,0
sift,0.5,P2-signal@0.008,84000,20160,0.9835,0.9778,0
sift,0.5,P2-signal@0.008,92000,20282,0.9845,0.9762,0
sift,0.5,P2-signal@0.008,100000,20354,0.9785,0.972,1
sift,0.5,P2-signal@0.008,108000,20258,0.987,0.9808,0
sift,0.5,P2-signal@0.008,116000,20230,0.983,0.9806,0
sift,0.5,P2-signal@0.008,124000,20302,0.9835,0.9801,0
sift,0.5,P2-signal@0.008,132000,20390,0.9825,0.9771,0
sift,0.5,P2-signal@0.008,140000,20502,0.984,0.9741,0
sift,0.5,P2-signal@0.008,148000,20388,0.984,0.9704,0
sift,0.5,P2-signal@0.008,156000,20306,0.978,0.9702,0
sift,0.5,P2-signal@0.008,164000,20318,0.9735,0.9666,1
sift,0.5,P2-signal@0.008,172000,20268,0.9785,0.9787,0
sift,0.5,P2-signal@0.008,180000,20124,0.9785,0.9806,0
sift,0.5,P2-signal@0.008,188000,20110,0.9805,0.9788,0
sift,0.5,P2-signal@0.008,196000,20104,0.98,0.9783,0
sift,0.5,P2-signal@0.008,204000,20202,0.979,0.9747,0
sift,0.5,P2-signal@0.008,212000,20296,0.9725,0.9724,0
sift,0.5,P2-signal@0.008,220000,20260,0.975,0.9699,0
sift,0.5,P2-signal@0.015,28000,20070,0.9955,0.9883,0
sift,0.5,P2-signal@0.015,36000,19984,0.992,0.9853,0
sift,0.5,P2-signal@0.015,44000,19984,0.9855,0.9847,0
sift,0.5,P2-signal@0.015,52000,20048,0.988,0.9804,0
sift,0.5,P2-signal@0.015,60000,20218,0.9835,0.9769,0
sift,0.5,P2-signal@0.015,68000,20238,0.9825,0.9747,0
sift,0.5,P2-signal@0.015,76000,20234,0.983,0.9703,0
sift,0.5,P2-signal@0.015,84000,20160,0.9785,0.9678,1
