dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P1-fixed@5000,52000,13760,0.999,0.999,0
sift,0.5,P1-fixed@5000,54000,15570,0.998,0.9988,1
sift,0.5,P1-fixed@5000,56000,17372,0.9985,0.9982,0
sift,0.5,P1-fixed@5000,58000,19166,0.997,0.9988,0
sift,0.5,P1-fixed@5000,60000,20976,0.999,0.9984,1
sift,0.5,P1-fixed@5000,62000,22768,0.999,0.9988,0
sift,0.5,P1-fixed@5000,64000,24602,0.999,0.9984,0
sift,0.5,P1-fixed@5000,66000,26408,0.9985,0.9981,1
sift,0.5,P1-fixed@5000,68000,28226,0.9995,0.9981,0
sift,0.5,P1-fixed@5000,70000,30034,0.999,0.998,0
sift,0.5,P1-fixed@5000,72000,28444,0.999,0.998,1
sift,0.5,P1-fixed@5000,74000,26842,0.9995,0.9978,0
sift,0.5,P1-fixed@5000,76000,25246,0.9995,0.9976,0
sift,0.5,P1-fixed@5000,78000,23634,0.999,0.9977,1
sift,0.5,P1-fixed@5000,80000,22034,0.999,0.9986,0
sift,0.5,P1-fixed@5000,82000,20436,0.9985,0.9985,0
sift,0.5,P1-fixed@5000,84000,18816,0.999,0.9985,1
sift,0.5,P1-fixed@5000,86000,17252,0.999,0.999,0
sift,0.5,P1-fixed@5000,88000,15606,0.999,0.9991,0
sift,0.5,P1-fixed@5000,90000,13984,0.9975,0.9989,1
sift,0.5,P1-fixed@5000,92000,15770,0.9985,0.9988,0
sift,0.5,P1-fixed@5000,94000,17572,0.999,0.9989,0
sift,0.5,P1-fixed@5000,96000,19394,0.9985,0.9991,1
sift,0.5,P1-fixed@5000,98000,21204,0.999,0.9988,0
sift,0.5,P1-fixed@5000,100000,20000,0.999,0.9989,0
sift,0.5,P1-fixed@5000,102000,18000,0.999,0.9988,1
sift,0.5,P1-fixed@5000,104000,16000,0.9995,0.9983,0
sift,0.5,P1-fixed@5000,106000,14000,0.999,0.9981,0
sift,0.5,P1-fixed@5000,108000,12000,0.9985,0.9984,1
sift,0.5,P1-fixed@5000,110000,10000,0.9985,0.9988,0
sift,0.5,P1-fixed@2500,12000,11814,0.998,0.9996,1
sift,0.5,P1-fixed@2500,14000,13606,0.9985,0.9997,0
sift,0.5,P1-fixed@2500,16000,15400,0.998,0.9993,1
sift,0.5,P1-fixed@2500,18000,17190,0.9995,0.9992,0
sift,0.5,P1-fixed@2500,20000,19002,0.999,0.9988,1
sift,0.5,P1-fixed@2500,22000,20818,0.9995,0.999,0
sift,0.5,P1-fixed@2500,24000,22624,0.9985,0.9985,1
sift,0.5,P1-fixed@2500,26000,24450,0.998,0.9986,0
sift,0.5,P1-fixed@2500,28000,26218,0.999,0.9984,1
sift,0.5,P1-fixed@2500,30000,28046,1.0,0.9982,0
sift,0.5,P1-fixed@2500,32000,26394,0.9995,0.9985,1
sift,0.5,P1-fixed@2500,34000,24812,0.998,0.9983,0
sift,0.5,P1-fixed@2500,36000,23196,0.998,0.9979,1
sift,0.5,P1-fixed@2500,38000,21586,0.9985,0.9985,0
sift,0.5,P1-fixed@2500,40000,20022,0.998,0.9987,1
sift,0.5,P1-fixed@2500,42000,18366,0.9985,0.9982,0
sift,0.5,P1-fixed@2500,44000,16742,0.9985,0.9979,1
sift,0.5,P1-fixed@2500,46000,15150,0.9975,0.9983,0
sift,0.5,P1-fixed@2500,48000,13538,0.996,0.9985,1
sift,0.5,P1-fixed@2500,50000,11970,0.9985,0.9986,0
sift,0.5,P1-fixed@2500,52000,13760,0.998,0.9988,1
sift,0.5,P1-fixed@2500,54000,15570,0.997,0.999,0
sift,0.5,P1-fixed@2500,56000,17372,0.998,0.9988,1
sift,0.5,P1-fixed@2500,58000,19166,0.9975,0.999,0
sift,0.5,P1-fixed@2500,60000,20976,0.998,0.9984,1
sift,0.5,P1-fixed@2500,62000,22768,0.999,0.9987,0
sift,0.5,P1-fixed@2500,64000,24602,0.999,0.9988,1
sift,0.5,P1-fixed@2500,66000,26408,0.9985,0.9985,0
sift,0.5,P1-fixed@2500,68000,28226,0.9995,0.9985,1
sift,0.5,P1-fixed@2500,70000,30034,0.999,0.998,0
sift,0.5,P1-fixed@2500,72000,28444,0.999,0.998,1
sift,0.5,P1-fixed@2500,74000,26842,0.9995,0.9976,0
sift,0.5,P1-fixed@2500,76000,25246,0.9995,0.9975,1
sift,0.5,P1-fixed@2500,78000,23634,0.9995,0.9979,0
sift,0.5,P1-fixed@2500,80000,22034,0.9985,0.998,1
sift,0.5,P1-fixed@2500,82000,20436,0.9985,0.9989,0
sift,0.5,P1-fixed@2500,84000,18816,0.999,0.9988,1
sift,0.5,P1-fixed@2500,86000,17252,0.999,0.9989,0
sift,0.5,P1-fixed@2500,88000,15606,0.999,0.999,1
sift,0.5,P1-fixed@2500,90000,13984,0.999,0.999,0
sift,0.5,P1-fixed@2500,92000,15770,0.999,0.9986,1
sift,0.5,P1-fixed@2500,94000,17572,0.9995,0.9987,0
sift,0.5,P1-fixed@2500,96000,19394,0.999,0.9988,1
sift,0.5,P1-fixed@2500,98000,21204,0.9985,0.9985,0
sift,0.5,P1-fixed@2500,100000,20000,0.998,0.9982,1
sift,0.5,P1-fixed@2500,102000,18000,0.999,0.9988,0
sift,0.5,P1-fixed@2500,104000,16000,0.999,0.9987,1
sift,0.5,P1-fixed@2500,106000,14000,0.9985,0.9986,0
sift,0.5,P1-fixed@2500,108000,12000,0.998,0.9988,1
sift,0.5,P1-fixed@2500,110000,10000,0.9985,0.9994,0
sift,0.5,P2-signal@0.004,12000,11814,0.998,0.9996,0
sift,0.5,P2-signal@0.004,14000,13606,0.9985,0.9997,0
sift,0.5,P2-signal@0.004,16000,15400,0.9985,0.9992,0
sift,0.5,P2-signal@0.004,18000,17190,0.999,0.9992,0
sift,0.5,P2-signal@0.004,20000,19002,0.9985,0.9989,0
sift,0.5,P2-signal@0.004,22000,20818,0.999,0.999,0
sift,0.5,P2-signal@0.004,24000,22624,0.9985,0.9988,0
sift,0.5,P2-signal@0.004,26000,24450,0.998,0.9988,0
sift,0.5,P2-signal@0.004,28000,26218,0.999,0.9987,0
sift,0.5,P2-signal@0.004,30000,28046,0.999,0.9987,0
sift,0.5,P2-signal@0.004,32000,26394,0.9985,0.9988,0
sift,0.5,P2-signal@0.004,34000,24812,0.9975,0.9988,0
